crop_code,Main_use_aggregated,Detailed_use_aggregated,Used_part_aggregated
4298,animal food (feed),"minerals, vitamins",leaves
4299,"environmental, fuels, material, poison","agroforestry, dye/tannin, fuelwood, living fence, mammals, ornamental/turf, revegetation, shade & shelter, timber wood","bark, entire plant, fruits, leaves, seeds, stems"
4305,"animal food (feed), environmental, food & beverage, fuels, medicinal","agroforestry, digestive system applications, erosion control, fuelwood, immune system applications, minerals, protein, vitamins","bark, entire plant, flowers, fruits, leaves"
431,"food & beverage, material, medicinal","digestive system applications, essential oils, metabolic system applications, nutritional applications, vitamins","leaves, roots, seeds"
4312,"environmental, food & beverage, material","lipids, minerals, ornamental/turf, timber wood, vitamins","bark, entire plant, seeds"
4313,"food & beverage, material","dye/tannin, lipids, minerals, timber wood, vitamins","bark, seeds, stems"
4314,"food & beverage, material, non-vertebrate food","dye/tannin, lipids, minerals, timber wood, vitamins","bark, leaves, seeds, stems"
4315,"environmental, food & beverage, medicinal","lipids, minerals, shade & shelter, Unspecified, vitamins","entire plant, roots, seeds"
432,"food & beverage, food additive, material","condiment/seasoning, essential oils, minerals, vitamins","fruits, leaves, seeds"
4335,"environmental, fuels","fuelwood, shade & shelter","bark, entire plant"
4336,"environmental, fuels, material","fuelwood, ornamental/turf, shade & shelter, timber wood","bark, entire plant"
4337,"animal food (feed), environmental, fuels, material","agroforestry, dye/tannin, erosion control, fuelwood, minerals, nitrogen fixation, ornamental/turf, shade & shelter, timber wood, vitamins, windbreak","bark, entire plant, leaves, roots"
4338,"environmental, fuels, material","fuelwood, nitrogen fixation, ornamental/turf, shade & shelter, timber wood","bark, entire plant, roots"
4339,"environmental, fuels, material","fuelwood, shade & shelter, timber wood","bark, entire plant"
4340,"fuels, material","fuelwood, timber wood",bark
4341,"environmental, food & beverage, fuels, material","agroforestry, charcoal, dye/tannin, erosion control, fibres, fuelwood, minerals, nitrogen fixation, ornamental/turf, revegetation, shade & shelter, timber wood, vitamins, windbreak","bark, entire plant, leaves, roots, stems"
4342,"environmental, fuels","fuelwood, shade & shelter","bark, entire plant"
4343,"animal food (feed), environmental, fuels, material","agroforestry, charcoal, fuelwood, living fence, minerals, nitrogen fixation, ornamental/turf, paper, pioneer, revegetation, shade & shelter, timber wood, vitamins","bark, entire plant, leaves, roots"
